subject  student  score
English  Carol  96
English  Jason  93
English  Ella  74
English  Kevin  77
English  Mary  86
English  Bob  89
English  Jack  87
English  Lucy  80
English  James  77
English  Lily  81
Algebra  Carol  89
Algebra  Jason  64
Algebra  Ella  82
Algebra  Kevin  75
Algebra  Mary  92
Algebra  Bob  58
Algebra  Jack  65
Algebra  Lucy  74
Algebra  James  68
Algebra  Lily  70
Biology  Carol  100
Biology  Jason  97
Biology  Ella  95
Biology  Kevin  95
Biology  Mary  94
Biology  Bob  96
Biology  Jack  93
Biology  Lucy  96
Biology  James  95
Biology  Lily  93
Chemistry  Carol  90
Chemistry  Jason  90
Chemistry  Ella  79
Chemistry  Kevin  84
Chemistry  Mary  92
Chemistry  Bob  82
Chemistry  Jack  85
Chemistry  Lucy  91
Chemistry  James  85
Chemistry  Lily  88
Physics  Carol  73
Physics  Jason  72
Physics  Ella  65
Physics  Kevin  66
Physics  Mary  71
Physics  Bob  64
Physics  Jack  69
Physics  Lucy  67
Physics  James  70
Physics  Lily  68
Geography  Carol  76
Geography  Jason  82
Geography  Ella  56
Geography  Kevin  57
Geography  Mary  65
Geography  Bob  68
Geography  Jack  64
Geography  Lucy  66
Geography  James  66
Geography  Lily  66
Psychology  Carol  98
Psychology  Jason  97
Psychology  Ella  96
Psychology  Kevin  95
Psychology  Mary  94
Psychology  Bob  98
Psychology  Jack  94
Psychology  Lucy  96
Psychology  Lily  97
